간밤
그날밤
그밤
긴밤
날낮
날밤
낮
대낮
두시
몇시간
밤
밤길
밤낮
밤새
밤새껏
밤중
분
분간
새벽
시
시간
시간전
시반
십분전
십여분
아침
아홉시
여덟시간
여분
열한시
오전
오전시
오후
오후시
이브닝
이초
일초
자정
저녁
저녁나절
점심때
정오
초
초반
한낮
한밤쯤
한시간
한시간정
