90분
08:40∼10:00
0시부터 자정까지
100시간
10-20분 정도
109분짜리
10분
10분 만
10분 안
10분간
10분내
10분동안
10분만
10분씩
10분이상
10분정도
10분짜리
10분쯤
10시간
10시까지
10여 분 만
10여 초
10여분 간
10여분 동안
10초
10초만
11분
11분 동안
11분 만
120시간
121분
125분짜리
12시간
136시간
13시간 30분
142분
14시간가량
14시간만
14시간씩
15~20분 정도
15분
15분 가량
15분 정도
15분만
15초
15초간
160시간
16분
179분 동안
17분
180분짜리
19분
1분
1분 16분
1분 1초
1분 40초
1분10초04
1분1초
1분45초25
1분59초
1분만
1시간
1시간 20분동안
1시간 35분
1시간 40분 동안
1시간 가량
1시간 만
1시간30분
1시간30분가량
1시간30분동안
1시간30분여 동안
1시간50분동안
1시간가량
1시간동안
1시간만
1시간여
1시간여 만
1시간이상
1시간정도
1일 오후
1천669시간
1천735시간
1천770시간
1천788시간
1초
1초 이상
1초당
1초만
2~30분
200분간
20분
20분간
20분동안
20분만
20분이상
20분정도
20시간
20여 분간
20여 분만
20초간
21분
2285시간
22분
22초
23분
24분
24시간
25분 만
25분 정도
25분간
25시간
26분
27분
27초
28분짜리
29분4초짜리
2분
2분 13초
2분 30초 만
2분 40초쯤
2분 만
2분00초31
2분간
2분만
2시간
2시간 30분
2시간 30분 만
2시간 가량
2시간 내내
2시간 동안
2시간 만
2시간 반
2시간 안
2시간 이내
2시간 정도
2시간15분만
2시간가량
2시간동안
2시간반동안
2시간안
2시간여
2시간여 동안
2시간여동안
2시간짜리
30 분 짜리
30~50시간
300분
30분
30분 가량
30분 만
30분 밖
30분 정도
30분 짜리
30분가량
30분간
30분내
30분동안
30분만
30분정도
30분짜리
30분쯤
30여분
30여분간
30여시간 동안
30초 동안
30초만
30초이상
33분
33초만
34분
34분 만
35분
35분 정도
35초마다
36분
36초57
39분
3분
3분 만
3분37초71
3분40초85
3분만
3분여간
3분이상
3분정도
3분짜리
3시간
3시간 10분
3시간 30분
3시간 40분
3시간 50분
3시간 가량
3시간 동안
3시간 만
3시간20분
3시간30분
3시간40분
3시간50분
3시간동안
3시간여
3시간여 동안
3초
3초만
4~5시간
4∼5초가량
40분
40분 정도
40분가량
40분간
40분만
40시간
40여 분
40여분만
41분
43분
43시간 만
44분
45초 만
46분
48시간
48시간 이상
48시간까지
4분 4초
4시간
4시간 10분
4시간 11분
4시간 2분
4시간 30분
4시간 동안
4시간 밖에
4시간30분
4시간40분
4시간가량
4시간동안
4시간씩
4시간짜리
5~6분
5∼6분씩
5∼6시간
50분
50분 만
50분여만
50분짜리
55분 만
5분
5분 동안
5분 만
5분 이상
5분만
5분안
5분여간
5분정돈
5시간
5시간 38분
5시간 40분
5시간 50분
5시간40분
5시간여 동안
5시간여만
6∼7 시간
60분
65분짜리
6분
6분 35초 만
6분만
6시간
6시간 18분
6시간 40분
6시간30분
6시간50분
6시간만
6천 시간 이상
6초 만
70분
72시간
72시간 안
7분
7시간
7시간 20분
7시간10분
7시간30분
7시간40분
7시간여 만
7시간짜리
7초
800시간
80분
80분 동안
80분짜리
80시간
88분동안
89분
89분동안
8분
8분 내
8시간
8시간 20분
8시간40분
8시간여
8초 동안
90분 동안
90분대
90분동안
90분짜리
90초 이내
91분짜리
95분
9분
9분 40초짜리
9분 41초
9분 만
9분여만
9시간
9시간 만
9시간여 동안
금일 오전
낮
낮 동안
대낮
대략 1시간∼1시간30분 동안
두 시간
두 시간 만
두 시간만
두시간 동안
두시간 반짜리
반나절
밤
밤 10시부터 새벽 2시
밤낮
밤늦게까지
밤부터
밤새
밤중
백분동안
"사, 오십분쯤"
새벽
새벽까지
새벽내내
세시간
십분
십분만
십분짜리
아침
야간
약 10시간
약 10초
약 1시간
약 1시간만
약 2시간 30분 만
약 2시간 동안
약 30분 만
약 3분
약 3시간 반 뒤
약 3초
약 4시간 가량
약 4시간 동안
약 50분
약 55분
약 5시간 동안
약 6분
약 7분간
약 7시간 동안
열다섯시간 이상
오분만
오전
오전 10∼11시
AM 10:00
오전 1시 7분∼4시 27분
오전 1시∼오전 7시
오전 2시 11분∼3시 23분
오전 4∼7시
오전 6시부터 오후 5시 30분까지
오전 6시부터 오후 6시까지
오전 6시부터 오후 8시까지
오전 8시30분부터 오후 4시까지
오전 8시부터 오후 5시30분까지
오전 9시∼오후 5시30분
오전 9시부터 오후 6시30분까지
오후
오후 1시께부터
PM 2:00
오후 2시 10분부터 오후 3시까지
오후 2시~6시
오후 3∼4시
오후 3∼5시께
오후 3시 10분께까지
오후 4∼5시
오후 5시까지
오후까지
오후께
오후부터
이날 오전
이날 오후
일분
일분정도로
일초
자정부터 새벽 5시까지
저녁
전반
전반 14분
전반 15분
전반 17분
전반 21분
전반 23분
전반 31분
전반 34분
전반 38분
전반 40분
전반 41분
전반 43분
전반 6분
점심
점심시간
주간
지난 16일 한밤중
지난밤
총 5분만
총 6~10시간 가량
총 8분짜리
하룻밤
한 10분쯤
한 20분
한 20분 정도
한 30분
한 30분정도까지
한 3시간 반짜리
한 5분만
한 밤 중
한 시간
한 시간가량
한 시간만
한 시간여 동안
한15분
한밤중
한시간
한시간 30분
한시간 가량
한시간 이십분
한시간반동안
후반
후반 19분
후반 20여분
후반 33분
간밤
그날밤
그밤
긴밤
날낮
날밤
두시
몇시간
밤길
밤새껏
분
분간
시
시간
시간전
시반
십분전
십여분
아홉시
여덟시간
여분
열한시
오전시
오후시
이브닝
이초
자정
저녁나절
점심때
정오
초
초반
한낮
한밤쯤
한시간정
